X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen
493891.765088523,6659808.52772626,529428,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Generaal Eisenhowerlei,48,,Borgerhout,2140,,FS_0255027,2,1
494614.935861473,6659583.66128387,529429,FIETSSTALLING,NIETJE_GROEP,PLEIN,Gijselsstraat,135,to 135,Borgerhout,2140,,FS_0255028,3,1
494803.619101288,6660061.60073237,529430,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Statielei,93,to 93,Borgerhout,2140,,FS_0255029,5,1
494045.431536835,6659809.39231197,529431,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Vinçottestraat,51,,Borgerhout,2140,,FS_0255030,2,1
494512.761628437,6660474.56986371,529432,FIETSSTALLING,NIETJE_ENKEL,PARKEERZONE,Goedendagstraat,60,,Borgerhout,2140,,FS_0255031,1,1
492085.336464798,6671118.61895594,529433,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Driehoekstraat,54,achter wachthuisje,Ekeren,2180,,FS_0255032,5,1
491069.723069664,6669994.38719208,529434,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ferdinand Verbieststraat,10,,Antwerpen,2030,,FS_0255033,4,1
491188.346247775,6669922.25956918,529435,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ferdinand Verbieststraat,11,,Antwerpen,2030,,FS_0255034,4,1
492112.361957422,6671569.38418014,529436,FIETSSTALLING,NIETJE_GROEP,RIJWEG,Moretuslei,71A,,Ekeren,2180,,FS_0255035,2,1
494173.645834543,6656829.79920078,529437,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Diksmuidelaan,26,,Berchem,2600,,FS_0255036,4,1
494152.601145608,6656820.3891268,529438,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Diksmuidelaan,28,to 28,Berchem,2600,,FS_0255037,5,1
492362.927790854,6656248.33557613,529439,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Van Campenhoutstraat,65,,Berchem,2600,,FS_0255038,3,1
492414.163472363,6655846.78125873,529440,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Patriottenstraat,64,,Berchem,2600,,FS_0255039,4,1
492432.341838484,6655815.33715429,529441,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Patriottenstraat,68,"thv 68, richting hoek",Berchem,2600,,FS_0255040,8,1
489078.808904553,6652496.27664123,529442,FIETSSTALLING,NIETJE_GROEP,PAD,Heistraat,163,to 163,Wilrijk,2610,,FS_0255041,2,1
483959.630241009,6652303.86545704,529443,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Kapelstraat_HO,64,,Hoboken,2660,,FS_0255042,3,1
483952.298975213,6652301.02126758,529444,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Kapelstraat_HO,64,,Hoboken,2660,,FS_0255043,3,1
499222.80990613,6659730.37360892,529445,FIETSSTALLING,NIETJE_GROEP,PAD,Ruggeveldlaan,488,"op pad, zij-ingang links voetbalgebouw",Deurne,2100,,FS_0255045,6,1
499217.868599008,6659525.12728037,529446,FIETSSTALLING,NIETJE_GROEP,PAD,Ruggeveldlaan,486,"op pad, zij-ingang voetbalgebouw",Deurne,2100,,FS_0255044,3,1
499628.970188744,6659709.94441377,529447,FIETSSTALLING,NIETJE_GROEP,PAD,Ruggeveldlaan,486,"op pad, achter skatepark",Deurne,2100,,FS_0255046,2,1
499431.84440928,6659742.58641318,529448,FIETSSTALLING,NIETJE_GROEP,PAD,Ruggeveldlaan,486,"op pad, voor skatepark",Deurne,2100,,FS_0255047,5,1
485167.946204341,6653793.32996219,529449,FIETSSTALLING,NIETJE_ENKEL,VOETPAD,Portugesestraat,4,,Hoboken,2660,,FS_0255048,1,1
485147.7947669,6653789.94844434,529450,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Lageweg,114,,Hoboken,2660,,FS_0255049,3,1
485181.48987406,6653818.26727683,529451,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Lageweg,111,to 111,Hoboken,2660,,FS_0255050,3,1
494351.785585222,6660219.46907957,529452,FIETSSTALLING,NIETJE_ENKEL,VOETPAD,Ranststraat,43,,Borgerhout,2140,,FS_0255051,1,1
494320.984961521,6660174.76327767,529453,FIETSSTALLING,NIETJE_ENKEL,VOETPAD,Ranststraat,43,,Borgerhout,2140,,FS_0255052,1,1
494308.303198072,6660138.76400268,529454,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Ranststraat,26,,Borgerhout,2140,,FS_0255053,2,1
495294.217084389,6662103.23299568,529455,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Van Dornestraat,152,,Deurne,2100,,FS_0255054,4,1
490714.98727514,6662311.54825066,529456,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Londenstraat,,thv de Londenbrug,Antwerpen,2000,,FS_0255055,8,1
490716.040103615,6662387.31057579,529457,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,New Yorkkaai,75,Op de kaai,Antwerpen,2000,,FS_0255056,6,1
490715.834135271,6662474.74342124,529458,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,New Yorkkaai,64-68,thv de Talinnstraat,Antwerpen,2000,,FS_0255057,6,1
490789.570315311,6662462.79734266,529459,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Tallinnstraat,64-68,thv de New Yorkkaai,Antwerpen,2000,,FS_0255058,8,1
490798.656836226,6662576.94635307,529460,FIETSSTALLING,NIETJE_GROEP,PLEIN,Schengenplein,,thv Kattendijkdok-Oostkaai,Antwerpen,2000,,FS_0255059,8,1
490787.325751114,6662675.97190023,529461,FIETSSTALLING,NIETJE_GROEP,PLEIN,Schengenplein,,thv Kattendijkdok-Oostkaai (noord),Antwerpen,2000,,FS_0255060,14,1
487003.174902843,6653243.9630284,529462,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Daniël Herreynslaan,92,,Wilrijk,2610,,FS_0255061,3,1
486972.4564509,6653390.15827241,529463,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Daniël Herreynslaan,123,to 123,Wilrijk,2610,,FS_0255062,2,1
487057.284262553,6653341.16033026,529464,FIETSSTALLING,NIETJE_GROEP,PLEIN,Michel Willemsplein,84,to 84,Wilrijk,2610,,FS_0255063,3,1
487114.39310739,6653268.9875391,529465,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Michel Willemsplein,68,thv 68,Wilrijk,2610,,FS_0255064,3,1
487131.272877297,6653248.10613633,529466,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Michel Willemslaan,59,thv 59,Wilrijk,2610,,FS_0255065,3,1
488285.98642702,6662900.02977561,529467,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Gloriantlaan,thv 2B,hoek met de Thonetlaan,Antwerpen,2050,,FS_0255066,3,1
488304.227892593,6662929.30067714,529468,FIETSSTALLING,NIETJE_GROEP,MIDDENBERM,Gloriantlaan,thv 2B,hoek met de Thonetlaan,Antwerpen,2050,,FS_0255068,5,1
488286.274463422,6662905.3570488,529469,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Gloriantlaan,thv 2B,hoek met de Thonetlaan,Antwerpen,2050,,FS_0255067,2,1
491512.527452723,6659422.61279013,529470,FIETSSTALLING,NIETJE_GROEP,MIDDENBERM,Maria-Theresialei,23,zijde Quellinstraat,Antwerpen,2018,,FS_0252723,6,1
491493.036650967,6659476.3847088,529471,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Maria-Theresialei,17,,Antwerpen,2018,,FS_0255070,10,1
491581.885360479,6659515.58256356,529472,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Quellinstraat,43,,Antwerpen,2018,,FS_0255071,4,1
491612.171946909,6659626.19408165,529473,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Quellinstraat,31-31A,,Antwerpen,2018,,FS_0255072,7,1
491631.655164473,6659768.95258644,529474,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Quellinstraat,thv 16,to 3-5,Antwerpen,2018,,FS_0255073,3,1
491649.746159958,6659844.34236234,529475,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Quellinstraat,to 1-3,,Antwerpen,2018,,FS_0255074,3,1
491916.451624221,6662369.64474761,529476,FIETSSTALLING,NIETJE_GROEP,PARK,Kempenstraat,,skatepark antwerpen noord,Antwerpen,2030,,FS_0255075,10,1
485829.043637076,6660181.72040991,529477,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Léon Huybrechtsstraat,31,Hoek,Antwerpen,2050,,FS_0255076,9,1
485894.949909432,6659965.60200654,529478,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Hector Lebonstraat,5,Hoek thv 5,Antwerpen,2050,,FS_0255077,4,1
485996.828201959,6660031.82124127,529479,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Philippe Vermoelenstraat,5,schuin to 5,Antwerpen,2050,,FS_0255078,3,1
486228.541164521,6659821.92199042,529480,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Hugues C. Pernathlaan,48-50,Hoek,Antwerpen,2050,,FS_0255079,3,1
486033.432350651,6652227.12056542,529481,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Heidestraat,305,"to 305, hoek Sint-Bernardsesteenweg",Hoboken,2660,,FS_0255080,5,1
493477.924664515,6657078.97079257,529482,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Guldenvliesstraat,60,,Berchem,2600,,FS_0255081,4,1
493480.246927948,6657056.82521218,529483,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Leemputstraat,77,,Berchem,2600,,FS_0255082,1,1
494424.373952313,6670752.02368881,529484,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Prinshoeveweg,185,to 194,Ekeren,2180,,FS_0255083,2,1
494435.181412082,6670753.87514354,529485,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Prinshoeveweg,183,to 192,Ekeren,2180,,FS_0255084,2,1
