X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO
495840.250141423,6660806.09208644,54543,GLASCONT_04320,duo glasbol,D1230,LAKBORSLEI,125,2100,NOORD,Deurne,2016/03/30 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
493252.173390635,6657999.92509707,54544,GLASCONT_04321,mono glasbol wit,M1508,KORTE ALTAARSTRAAT,6,2018,MIDDEN,Centrum2,2016/03/30 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
493256.939776135,6657997.32018985,54545,GLASCONT_04322,mono glasbol groen,M1625,KORTE ALTAARSTRAAT,6,2018,MIDDEN,Centrum2,2016/03/30 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
491167.249157275,6669217.02963247,54546,GLASCONT_04325,duo glasbol,D1192,PATER STRACKESTRAAT,2,2180,NOORD,Ekeren,2016/03/30 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
498159.259218347,6660180.55710362,54547,GLASCONT_04732,ondergrondse duo,O1136-A657,SCHOTENSESTEENWEG,8,2100,NOORD,Deurne,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
482465.40807686,6653109.41040408,54548,GLASCONT_04736,duo glasbol,D1010,BOOMBEKELAAN,,2660,ZUID,Hoboken,2016/07/06 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
488848.233469577,6651628.45268649,54549,GLASCONT_04738,ondergrondse wit,O1101-A654,KONINGIN ELISABETHSTRAAT,15,2610,ZUID,Wilrijk,2016/07/06 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
488850.642171713,6651624.58163202,54550,GLASCONT_04739,ondergrondse groen,O1107-A638,KONINGIN ELISABETHSTRAAT,15,2610,ZUID,Wilrijk,2016/07/06 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
488914.308886719,6651400.17440038,54551,GLASCONT_04330,ondergrondse duo,O1131-A672,BIST_WI,19,2610,ZUID,Wilrijk,2016/08/16 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493330.267506306,6653037.50325417,54552,GLASCONT_04333,ondergrondse duo,O1124-A709,RINGLAAN_BE,18,2600,ZUID,Berchem,2016/08/16 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
490568.437956776,6650450.11287335,54553,GLASCONT_04740,duo glasbol,D1122,,100,2610,ZUID,Wilrijk,2016/12/10 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484186.068356095,6651534.33607832,54554,GLASCONT_04741,mono glasbol wit,M1526,MORETUSSTRAAT,,2660,ZUID,Hoboken,2017/02/28 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
484186.520142298,6651520.58669005,54555,GLASCONT_04742,mono glasbol groen,M1607,MORETUSSTRAAT,,2660,ZUID,Hoboken,2017/02/28 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
